Item, Full Name, Kaha Use Hota Hai, Function
Waste Pipe,Waste Water Pipe,Basin & Sink,Carries wastewater,
Rain Water Pipe,Rain Water Pipe,Roof,Carries rainwater,
Roof Drain,Roof Drain,Roof,Collects rainwater,
SS Grating,Stainless Steel Grating,Floor Drain,Covers drain opening,
CI Grating,Cast Iron Grating,Drain Channel,Covers drain,
Drain Channel,Drainage Channel,Basement,Collects surface water,
Channel Grating,Drain Channel Grating,Driveway,Covers drain channel,
Backwater Valve,Backwater Valve,Sewer Line,Prevents sewer backflow,
Sewer Cleanout,Sewer Cleanout,Sewer Line,Provides cleaning access,
Trap Primer,Trap Primer,Floor Trap,Maintains water seal,
Inspection Cover,Inspection Cover,Drainage System,Covers inspection opening,
Raw Water Pump,Raw Water Transfer Pump,WTP,Pumps raw water,
Feed Pump,Chemical Feed Pump,WTP & STP,Feeds chemicals,
Transfer Pump,Water Transfer Pump,WTP,Transfers water,
Sludge Pump,Sludge Transfer Pump,STP,Pumps sludge,
Filter Feed Pump,Filter Feed Pump,WTP,Supplies water to filters,
Dosing Tank,Chemical Dosing Tank,STP & WTP,Stores chemicals,
Agitator,Chemical Agitator,Chemical Tank,Mixes chemicals,
Tube Settler,Tube Settler,WTP,Improves sedimentation,
Clarifier,Clarifier,STP & WTP,Separates suspended solids,
Aeration Tank,Aeration Tank,STP,Provides biological treatment,
Air Blower,Roots Blower,STP,Supplies air for aeration,
Diffuser,Fine Bubble Diffuser,Aeration Tank,Distributes air bubbles,
MBBR Media,Moving Bed Biofilm Reactor Media,STP,Supports bacterial growth,
Filter Press,Sludge Filter Press,STP,Removes water from sludge,
Sludge Drying Bed,Sludge Drying Bed,STP,Dries sludge,
Chlorine Dosing Pump,Chlorine Dosing Pump,WTP,Disinfects water,
UV Reactor,UV Disinfection Reactor,RO & WTP,Kills microorganisms,
Sampling Point,Water Sampling Point,WTP & STP,Collects water samples,
Online pH Meter,Online pH Analyzer,STP,Continuous pH monitoring,
Online TDS Meter,Online TDS Meter,RO Plant,Continuous TDS monitoring,
DO Meter,Dissolved Oxygen Meter,STP,Measures dissolved oxygen,
Turbidity Meter,Turbidity Meter,WTP,Measures water turbidity,
Magnetic Flow Meter,Electromagnetic Flow Meter,WTP,Measures water flow,
Pressure Relief Valve,Pressure Relief Valve,Pump Line,Protects from overpressure,
Commissioning Valve,Commissioning Valve,WTP & STP,Used during testing and startup,
Sampling Valve,Sampling Valve,WTP,Takes water samples,
Drain Valve,Drain Valve,STP & WTP,Drains water during maintenance,
Vent Valve,Vent Valve,Tank & Pipeline,Releases trapped air,
Control Panel,STP Control Panel,STP,Controls plant operation,
PLC Panel,PLC Control Panel,STP & WTP,Automates treatment process,
Fire Alarm Bell,Fire Alarm Bell,Fire Alarm System,Provides audible alarm,
Fire Alarm Hooter,Fire Alarm Hooter,Fire Alarm System,Warns occupants during fire,
Fire Alarm Panel,Fire Alarm Control Panel,Control Room,Monitors fire alarm devices,
Smoke Detector,Smoke Detector,Ceiling,Detects smoke,
Heat Detector,Heat Detector,"Kitchen, Plant Room",Detects high temperature,
Beam Detector,Beam Smoke Detector,Warehouse,Achieves long-distance smoke detection,
Manual Call Point,Manual Call Point (MCP),Exit Door,Manual fire alarm activation,
Response Indicator,Remote Response Indicator,Outside Room,Shows detector status,
Fire Extinguisher,Portable Fire Extinguisher,Building,Controls small fires,
ABC Extinguisher,ABC Dry Powder Extinguisher,General Area,"Extinguishes Class A, B & C fires",
CO2 Extinguisher,Carbon Dioxide Extinguisher,Electrical Room,Extinguishes electrical fires,
Foam Extinguisher,Foam Fire Extinguisher,Fuel Storage,Controls liquid fires,
Water Mist Extinguisher,Water Mist Extinguisher,Server Room,Extinguishes fire safely,
Fire Bucket,Fire Sand Bucket,Fire Point,Stores sand for emergency,
Fire Axe,Fire Axe,Fire Point,Breaks doors/windows,
Fire Blanket,Fire Blanket,Kitchen,Smothers small fires,
Fire Hose Cabinet,Fire Hose Cabinet,Fire Hydrant,Point,
Landing Valve Box,Landing Valve Cabinet,Fire Shaft,Protects landing valve,
Pressure Gauge,Fire Pressure Gauge,Fire Pump Line,Measures fire line pressure,
Test Valve,Fire Test Valve,Sprinkler System,Tests sprinkler operation,
Flow Switch,Fire Flow Switch,Sprinkler Line,Detects water flow,
Tamper Switch,Tamper Switch,Fire Valve,Detects unauthorized valve movement,
Zone Control Valve,Zone Control Valve,Sprinkler Zone,Isolates sprinkler zone,
Pressure Relief Valve,Pressure Relief Valve,Fire Pump,Protects against overpressure,
Air Release Valve,Air Release Valve,Fire Pipeline,Removes trapped air,
Fire Signage,Fire Safety Sign,Building,Guides emergency response,
Exit Sign,Exit Sign,Building,Shows escape route,
Emergency Light,Emergency Light,Corridor,Provides lighting during power failure,
Hydrant Box,Fire Hydrant Cabinet,Building,Houses hydrant accessories,
Fire Door,Fire Rated Door,Fire Escape,Prevents fire spread,
Centrifugal Pump,Centrifugal Water Pump,Pump Room,Pumps water,
Horizontal Split Case Pump,Horizontal Split Case Pump,Fire Pump Room,High-capacity water pumping,
Vertical Inline Pump,Vertical Inline Pump,HVAC System,Circulates chilled water,
Multistage Pump,Vertical Multistage Pump,Hydro Pneumatic System,Provides high pressure,
Booster Pump,Booster Pump,Water Supply,Increases water pressure,
Transfer Pump,Transfer Pump,UGT to OHT,Transfers water,
Submersible Pump,Submersible Pump,Sump Pit,Pumps underground water,
Drainage Pump,Drainage Pump,Basement,Removes wastewater,
Sewage Pump,Sewage Pump,STP,Pumps sewage,
Pump Base Frame,MS Pump Base,Pump Room,Supports pump,
Flexible Joint,Rubber Expansion Joint,Pump Connection,Reduces vibration,
Anti Vibration Pad,Rubber Pad,Pump Base,Absorbs vibration,
Pressure Tank,Hydro Pneumatic Tank,Pump Room,Maintains pressure,
Air Vessel,Air Vessel,Pump System,Absorbs pressure surge,
Foot Valve,Foot Valve,Suction Line,Prevents reverse flow,
Y Strainer,Y Type Strainer,Pump Suction,Filters debris,
Pressure Gauge,Pressure Gauge,Pump Discharge,Measures pressure,
Vacuum Gauge,Vacuum Gauge,Pump Suction,Measures suction vacuum,
Pressure Switch,Pressure Switch,Pump Panel,Automatic pump control,
Float Switch,Float Switch,Water Tank,Automatic level control,
Pump Control Panel,Pump Control Panel,Pump Room,Controls pumps,
MCC Panel,Motor Control Center,Pump Room,Controls motors,
VFD,Variable Frequency Drive,Booster Pump,Controls motor speed,
Coupling,Flexible Coupling,Pump & Motor,Connects motor and pump,
Mechanical Seal,Mechanical Seal,Pump Shaft,Prevents leakage,
Bearing,Pump Bearing,Pump,Supports rotating shaft,
Impeller,Pump Impeller,Pump,Creates water flow,
Pump Casing,Pump Casing,Pump,Houses internal components,
Suction Diffuser,Suction Diffuser,Pump Inlet,Improves suction flow,
Drain Plug,Drain Plug,Pump,Drains water during maintenance,
Gate Valve,Gate Valve,Water Supply,Complete ON/OFF flow,
Globe Valve,Globe Valve,Water Line,Flow regulation,
Ball Valve,Ball Valve,Water Supply,Quick ON/OFF,
Butterfly Valve,Butterfly Valve,Large Diameter Pipe,ON/OFF control,
Check Valve,Non Return Valve (NRV),Pump Line,Prevents reverse flow,
Foot Valve,Foot Valve,Pump Suction,Retains pump prime,
Needle Valve,Needle Valve,Instrumentation,Precise flow control,
Pressure Reducing Valve,PRV,Water Supply,Reduces pressure,
Pressure Relief Valve,Pressure Relief Valve,Pump System,Releases excess pressure,
Safety Valve,Safety Valve,Boiler,Protects from overpressure,
Air Release Valve,ARV,Water Main,Releases trapped air,
Scour Valve,Scour Valve,Lowest Pipeline Point,Drains pipeline,
Float Valve,Float Valve,Water Tank,Controls water level,
Solenoid Valve,Solenoid Valve,Automation,Automatic ON/OFF by electrical signal,
Motorized Valve,Motorized Valve,HVAC,BMS controlled valve,
Control Valve,Control Valve,Process Line,Controls flow automatically,
Balancing Valve,Balancing Valve,HVAC,Balances water flow,
PICV,Pressure Independent Control Valve,HVAC,Maintains constant flow,
Angle Valve,Angle Valve,Basin & Geyser,Fixture water control,
Flush Valve,Flush Valve,Urinal & WC,Flush control,
Diaphragm Valve,Diaphragm Valve,Chemical Line,Controls corrosive fluid,
Knife Gate Valve,Knife Gate Valve,STP,Slurry flow control,
Plug Valve,Plug Valve,Industrial Line,ON/OFF flow,
Pinch Valve,Pinch Valve,Slurry Line,Controls abrasive fluids,
Wafer Valve,Wafer Butterfly Valve,Water Pipeline,Compact butterfly valve,
Double Regulating Valve,Double Regulating Valve,HVAC,Flow balancing,
Zone Valve,Zone Control Valve,HVAC,Controls water by zone,
Mixing Valve,Thermostatic Mixing Valve,Hot Water,Mixes hot and cold water,
Diverter Valve,Diverter Valve,Bathroom,Diverts water between outlets,
Commissioning Valve,Commissioning Valve,HVAC & Plumbing,"Testing, balancing and commissioning",
Barbed Insert,Barbed Hose Insert,Hose Pipe,Connection between hose and fitting,
Flare Fitting,Flare Tube Fitting,Copper Tube,Leak-proof tube connection,
Compression Union,Compression Union,Water & Gas Line,Joins two pipes without welding,
Compression Tee,Compression Tee,Water Supply,Takes branch connection,
Quick Release Coupling,Quick Release Coupling,Air & Water Hose,Quick connect/disconnect,
90° Elbow,90 Degree Elbow,Pipeline,Changes pipe direction by 90°,
Bell Reducer,Bell Reducer,Different Size Pipe,Reduces pipe size,
Cross Connector,Four Way Cross,Pipeline,Connects four pipes,
Hex Nipple,Hexagonal Nipple,Threaded Pipe,Joins two female threaded fittings,
Cap Plug,Male Cap Plug,Pipe End,Closes pipe opening,
Reducer,Male/Female Reducer,Threaded Pipe,Connects different pipe sizes,
Socket,Coupling Socket,Same Size Pipe,Joins two straight pipes,
Union,Pipe Union,Threaded Pipe,Easy pipe disconnection,
Male Adapter,Male Thread Adapter,PVC/CPVC Pipe,Connects pipe to female thread,
Female Adapter,Female Thread Adapter,PVC/CPVC Pipe,Connects pipe to male thread,
Reducer Bush,Reducer Bush,Threaded Fittings,Reduces threaded connection size,
Street Elbow,Street Elbow,Corner Connection,One male and one female end elbow,
45° Elbow,45 Degree Elbow,Pipeline,Changes direction by 45°,
Equal Tee,Equal Tee,Pipeline,Takes equal-size branch,
Reducing Tee,Reducing Tee,Pipeline,Takes smaller-size branch,
Cross Tee,Four Way Tee,Pipeline,Provides four-way connection,
Y Tee,Wye Tee,Drainage System,Smooth branch connection,
Lateral Tee,Lateral Tee,Drainage,Side branch at an angle,
End Cap,End Cap,Pipe End,Seals the end of pipe,
Plug,Threaded Plug,Threaded Fitting,Closes threaded opening,
Hose Connector,Hose Connector,Garden Hose,Joins hose pipe,
Bulkhead Fitting,Bulkhead Connector,Water Tank,Creates leak-proof tank connection,
Swivel Adapter,Swivel Adapter,Flexible Hose,Allows free rotation,
Compression Elbow,Compression Elbow,Copper/PEX Pipe,90° compression connection,
Compression Reducer,Compression Reducer,Compression Pipe,Reduces pipe size,
Disc,Valve Disc,Inside Valve,Opens and closes the flow of water,
Valve Disc,Valve Disc Assembly,"Gate, Globe, Check Valve",Seals the valve seat to stop flow,
Disc Filter,Disc Water Filter,Irrigation & Water Treatment,Removes dirt and suspended particles,
Cutting Disc,Metal Cutting Disc,Pipe Fabrication,"Cuts GI, MS and SS pipes",
Grinding Disc,Grinding Disc,Fabrication,Smoothens pipe edges and welds,
Flap Disc,Flap Grinding Disc,Metal Finishing,Grinding and polishing metal surfaces,
Diamond Cutting Disc,Diamond Blade Disc,Concrete & Tile,"Cuts concrete, tiles and stone",
Pipe Wrench,Pipe Wrench,GI & Steel Pipe,Tightens and loosens threaded pipes,
Adjustable Wrench,Adjustable Wrench,General Plumbing,Adjusts to different nut sizes,
Open End Wrench,Open End Wrench,Nuts & Bolts,Tightens and loosens open-side nuts,
Ring Wrench,Ring Spanner,Mechanical Work,Provides firm grip on nuts,
Combination Wrench,Combination Wrench,General Maintenance,One open end and one ring end,
Socket Wrench,Socket Wrench,Machine & Pump,Removes and tightens bolts,
Torque Wrench,Torque Wrench,Pump & Flange,Tightens bolts to specified torque,
Allen Wrench,Allen Key (Hex Key),"Mixer, Pump, Valve",Tightens hex socket screws,
Basin Wrench,Basin Wrench,Wash Basin,Fits nuts in hard-to-reach places,
Strap Wrench,Strap Wrench,PVC & Chrome Pipe,Tightens without scratching,
Chain Wrench,Chain Pipe Wrench,Large Pipe,Holds and turns large pipes,
Stillson Wrench,Stillson Pipe Wrench,Steel Pipe,Heavy-duty pipe tightening,
Monkey Wrench,Monkey Wrench,General Mechanical Work,Adjustable jaw for nuts and bolts,
Flare Nut Wrench,Flare Nut Wrench,Copper Pipe,Tightens flare fittings without damage,
Crowfoot Wrench,Crowfoot Wrench,Confined Space,Reaches inaccessible nuts,
Hook Spanner,Hook Spanner,Round Lock Nut,Tightens circular lock nuts,
Pin Spanner,Pin Spanner,Hydraulic Equipment,Tightens slotted round nuts,
Offset Ring Wrench,Offset Ring Spanner,Confined Areas,Accesses recessed bolts,
Ratcheting Wrench,Ratcheting Combination Wrench,Maintenance,Fast tightening without removing wrench,
Box Wrench,Box Spanner,Deep Nuts,Reaches recessed fasteners,
T Wrench,T Handle Wrench,Workshop,Provides extra torque,
Cross Wrench,Four Way Lug Wrench,Vehicle Maintenance,Tightens wheel nuts,
Slugging Wrench,Slugging Spanner,Heavy Industry,Used with hammer for large nuts,
Hydraulic Torque Wrench,Hydraulic Torque Wrench,Industrial Flanges,Applies high torque accurately,
Impact Wrench,Pneumatic/Electric Impact Wrench,Workshop,Quickly tightens and removes bolts,
Hammer,Claw Hammer,General Construction,Driving and removing nails,
Ball Peen Hammer,Ball Peen Hammer,Mechanical Workshop,Metal shaping,
Rubber Mallet,Rubber Mallet,Tile & PVC Work,Prevents surface damage,
Sledge Hammer,Sledge Hammer,Demolition,Heavy striking work,
Screwdriver,Flat Head Screwdriver,Electrical & Plumbing,Tightens flat screws,
Phillips Screwdriver,Phillips Screwdriver,General Assembly,Tightens cross-head screws,
Impact Driver,Impact Screwdriver,Heavy Duty Fastening,Removes tight screws,
Nut Driver,Nut Driver,Mechanical Work,Tightens hex nuts,
Adjustable Wrench,Adjustable Spanner,General Plumbing,Tightens different size nuts,
Pipe Wrench,Pipe Wrench,GI Pipe Installation,Tightens threaded pipes,
Torque Wrench,Torque Wrench,Flange & Pump,Applies specified torque,
Allen Key,Hex Key,Mixer & Pump,Tightens hex socket screws,
Combination Spanner,Combination Wrench,Mechanical Work,Tightens nuts and bolts,
Socket Wrench,Socket Wrench,Machine Installation,Works with socket sets,
Ratchet Wrench,Ratchet Wrench,Maintenance,Fast tightening,
Pliers,Combination Pliers,General Work,Holds and cuts wires,
Long Nose Plier,Long Nose Plier,Electrical Work,Holds small objects,
Water Pump Plier,Water Pump Plier,Plumbing,Grips pipe fittings,
Locking Plier,Vise Grip,Workshop,Locks on workpiece,
Wire Stripper,Wire Stripper,Electrical Work,Removes wire insulation,
Bolt Cutter,Bolt Cutter,Steel Work,Cuts bolts and rods,
Cable Cutter,Cable Cutter,Electrical Work,Cuts electrical cables,
Tin Snip,Tin Snips,Sheet Metal,Cuts sheet metal,
Hacksaw,Hacksaw,Metal Pipe,Cuts metal and plastic,
Hand Saw,Hand Saw,Wood Work,Cuts wood,
Jigsaw,Jigsaw,Wood & Plastic,Curved cutting,
Reciprocating Saw,Reciprocating Saw,Demolition,Cuts pipes and wood,
Circular Saw,Circular Saw,Wood Work,Straight cutting,
Air Saw,Pneumatic Air Saw,Workshop,Fast cutting,
Utility Knife,Utility Knife,General Work,Cuts plastic and cartons,
Box Cutter,Box Cutter,Packaging,Opens boxes,
Scissors,Industrial Scissors,General Work,Cuts paper and plastic,
Chisel,Cold Chisel,Concrete & Metal,Chipping work,
Crowbar,Pry Bar,Demolition,Lifts and removes materials,
File,Metal File,Workshop,Smoothens metal edges,
Wire Brush,Steel Wire Brush,Welding,Cleans rust and welds,
Angle Grinder,Angle Grinder,Steel Fabrication,Cutting and grinding,
Air Grinder,Pneumatic Grinder,Workshop,Grinding and polishing,
Bench Grinder,Bench Grinder,Workshop,Sharpens tools,
Sander,Orbital Sander,Wood Work,Smoothens surfaces,
Plasma Cutter,Plasma Cutting Machine,Fabrication,Cuts steel plates,
Pipe Cutter,PVC/Copper Pipe Cutter,Plumbing,Cuts pipes cleanly,
Hydraulic Cutter,Hydraulic Pipe Cutter,Heavy Pipe,Cuts large pipes,
Measuring Tape,Steel Tape Measure,Site Measurement,Measures length,
Laser Distance Meter,Laser Distance Meter,Survey,Measures long distances,
Spirit Level,Spirit Level,Pipe Installation,Checks horizontal and vertical level,
Plumb Bob,Plumb Bob,Masonry & Plumbing,Checks vertical alignment,
Digital Multimeter,Digital Multimeter,Electrical Testing,Measures voltage and current,
Drill Machine,Electric Drill,Wall & Slab,Drills holes,
Hammer Drill,Rotary Hammer Drill,Concrete,Heavy drilling,
Air Drill,Pneumatic Drill,Workshop,Compressed-air drilling,
Impact Wrench,Air Impact Wrench,Automobile & Steel,Removes tight nuts,
Air Ratchet,Pneumatic Ratchet,Mechanical Work,Fast bolt tightening,
Air Hammer,Pneumatic Hammer,Workshop,Chiseling and riveting,
Air Blow Gun,Air Blow Gun,Workshop,Cleans dust with compressed air,
Spray Gun,Air Spray Gun,Painting,Applies paint evenly,
Caulking Gun,Sealant Gun,Toilet & Kitchen,Applies silicone sealant,
Staple Gun,Staple Gun,Wood & Fabric,Fastens staples,
Clamp,C Clamp,Workshop,Holds workpiece firmly,
Bench Vice,Bench Vice,Workshop,Holds pipe or metal securely,
Hydraulic Jack,Hydraulic Jack,Vehicle & Equipment,Lifts heavy loads,
Paint Brush,Paint Brush,Finishing,Applies paint,
Router,Wood Router,Carpentry,Cuts grooves in wood,
Awl,Awl,Marking Work,Makes starter holes,
Measuring Wheel,Measuring Wheel,Site Survey,Measures long ground distances,
Core Drill,Core Cutting Machine,MEP Installation,Creates pipe openings in RCC,
Water Fire Extinguisher,Water Type Fire Extinguisher,"Office, School, Wood Storage","Extinguishes Class A fires (wood, paper, cloth)",
Foam Fire Extinguisher,Aqueous Film Forming Foam (AFFF),"Fuel Storage, Petrol Pump",Extinguishes Class A & B fires,
Dry Powder Extinguisher,Dry Chemical Powder (DCP),"Factory, Electrical Room","Extinguishes Class A, B & C fires",
ABC Fire Extinguisher,ABC Dry Chemical Powder,Extinguishes General Fires,"Suitable for Class A, B & C fires",
BC Fire Extinguisher,BC Dry Chemical Powder,"Petrol Pump, LPG Area",Extinguishes Class B & C fires,
CO₂ Fire Extinguisher,Carbon Dioxide Fire Extinguisher,"Server Room, Electrical Panel",Extinguishes electrical and liquid fires without residue,
Clean Agent Extinguisher,Clean Agent Fire Extinguisher,"Data Center, Telecom Room",Extinguishes fire without damaging equipment,
Halon Extinguisher,Halon Fire Extinguisher,"Aircraft, Military (limited use)",Extinguishes electrical fires,
Wet Chemical Extinguisher,Wet Chemical Fire Extinguisher,Commercial Kitchen,Extinguishes Class K/F cooking oil fires,
Water Mist Extinguisher,Water Mist Fire Extinguisher,"Hospital, Museum, Electrical Area",Extinguishes multiple fire classes with fine mist,
Class A Extinguisher,Class A Fire Extinguisher,"Wood, Paper Storage",For ordinary combustible materials,
Class B Extinguisher,Class B Fire Extinguisher,Fuel Storage,For flammable liquids,
Class C Extinguisher,Class C Fire Extinguisher,Electrical Room,For energized electrical equipment,
Class D Extinguisher,Class D Fire Extinguisher,Metal Industry,For combustible metal fires,
Class K Extinguisher,Class K Fire Extinguisher,Restaurant Kitchen,For cooking oils and fats,
Automatic Fire Extinguisher,Automatic Modular Fire Extinguisher,"Electrical Panel, DG Room",Activates automatically during fire,
Trolley Mounted Extinguisher,Trolley Type Fire Extinguisher,"Oil Depot, Industrial Plant",Large-capacity firefighting,
Ceiling Mounted Extinguisher,Ceiling Mounted Automatic Extinguisher,Server Room,Automatic fire suppression,
Fire Extinguisher Cabinet,Fire Extinguisher Box,Building Corridor,Protects extinguisher from damage,
Fire Extinguisher Stand,Portable Fire Extinguisher Stand,"Office, Factory",Holds extinguisher safely,
Fire Extinguisher Bracket,Wall Mount Bracket,Wall Installation,Mounts extinguisher on wall,
Fire Blanket,Fire Blanket,"Kitchen, Laboratory",Smothers small fires,
Fire Bucket,Fire Bucket with Sand,Fire Point,Used for sand or water firefighting,
Fire Sand Bucket,Fire Sand Bucket,Fuel Storage,Controls oil and fuel fires,
Fire Hose Reel,Fire Hose Reel,Hydrant System,Provides continuous water supply for firefighting,
Fire Hose,Fire Fighting Hose,Hydrant System,Delivers water to fire location,
Fire Nozzle,Fire Hose Nozzle,Fire Hose,End control and spray pattern,
Electric Drill,Electric Drill Machine,Wall & Metal,Drills holes,
Hammer Drill,Rotary Hammer Drill,Concrete,Drills concrete and masonry,
Impact Drill,Impact Drill,Brick Wall,Drills hard surfaces,
Impact Driver,Impact Driver,Screw Fastening,Drives screws with high torque,
Cordless Drill,Cordless Drill Machine,General Site Work,Portable drilling,
Angle Grinder,Angle Grinder,Steel Fabrication,Cuts and grinds metal,
Bench Grinder,Bench Grinder,Workshop,Sharpens tools,
Die Grinder,Electric Die Grinder,Metal Finishing,Grinding and polishing,
Cut Off Machine,Abrasive Cut Off Machine,Steel Pipe,Cuts metal sections,
Circular Saw,Circular Saw,Wood & Plastic,Straight cutting,
Jigsaw,Jigsaw Machine,Wood & PVC,Curved cutting,
Reciprocating Saw,Reciprocating Saw,Demolition,"Cuts pipe, wood and metal",
Band Saw,Band Saw,Workshop,Precision cutting,
Miter Saw,Compound Miter Saw,Carpentry,Angle cutting,
Table Saw,Table Saw,Wood Workshop,Sheet cutting,
Chain Saw,Chain Saw,Wood Work,Cuts timber,
Pipe Cutter,Electric Pipe Cutter,Plumbing,"Cuts PVC, CPVC and steel pipes",
Pipe Threading Machine,Electric Pipe Threading Machine,GI Pipe,Makes pipe threads,
Grooving Machine,Pipe Grooving Machine,Fire Fighting,Makes grooves for couplings,
Core Cutting Machine,Core Drill Machine,RCC Slab,Creates pipe openings,
Rotary Hammer,SDS Rotary Hammer,Construction,Heavy drilling and chiseling,
Demolition Hammer,Demolition Hammer,Concrete Breaking,Breaks RCC and concrete,
Wall Chaser,Wall Chaser Machine,MEP Installation,Cuts grooves for conduit and pipes,
Heat Gun,Heat Gun,Electrical & Plumbing,Shrinks sleeves and softens plastic,
Hot Air Gun,Industrial Hot Air Gun,PVC Work,Heating and bending PVC,
PVC Welding Machine,PVC Welding Machine,PVC Fabrication,Welds PVC sheets,
HDPE Butt Fusion Machine,HDPE Butt Fusion Welding Machine,HDPE Pipeline,Joins HDPE pipes,
Electrofusion Machine,HDPE Electrofusion Machine,HDPE Pipe,Joins HDPE fittings,
PPR Welding Machine,PPR Fusion Welding Machine,PPR Pipe,Joins PPR pipes,
Plastic Pipe Welder,Plastic Pipe Welding Machine,Thermoplastic Pipe,Welds plastic pipes,
Arc Welding Machine,Shielded Metal Arc Welder,Steel Fabrication,Welds steel,
MIG Welding Machine,Metal Inert Gas Welder,Fabrication,Fast welding,
TIG Welding Machine,Tungsten Inert Gas Welder,SS & Aluminium,High-quality welding,
Plasma Cutter,Plasma Cutting Machine,Fabrication,Cuts steel plates,
Air Compressor,Air Compressor,Workshop,Supplies compressed air,
Air Impact Wrench,Pneumatic Impact Wrench,Mechanical Work,Removes tight bolts,
Air Ratchet,Pneumatic Ratchet,Workshop,Fast bolt tightening,
Air Drill,Pneumatic Drill,Workshop,Compressed-air drilling,
Air Grinder,Pneumatic Grinder,Metal Work,Grinding and polishing,
Air Hammer,Pneumatic Hammer,Workshop,Chiseling and riveting,
Air Screwdriver,Pneumatic Screwdriver,Assembly Line,Drives screws,
Air Blow Gun,Pneumatic Blow Gun,Workshop,Cleans dust,
Spray Gun,Air Spray Gun,Painting,Applies paint,
Caulking Gun,Electric Caulking Gun,Sealant Work,Applies silicone and sealant,
Paint Sprayer,Electric Paint Sprayer,Finishing,Paints large surfaces,
Orbital Sander,Orbital Sander,Wood & Metal,Smooth finishing,
Belt Sander,Belt Sander,Workshop,Heavy surface finishing,
Polisher,Electric Polisher,Metal & Stone,Polishes surfaces,
Hydraulic Crimping Tool,Hydraulic Crimping Machine,Cable Work,Crimps cable lugs,
Hydraulic Pipe Bender,Hydraulic Pipe Bending Machine,Conduit & Pipe,Bends metal pipes,
Short Name,Full Name,Kaha Use Hota Hai,Purpose
BOQ,Bill of Quantities,Tender & Billing,Quantity and cost estimation
BOM,Bill of Materials,Procurement,List of required materials
MTO,Material Take Off,Planning,Material quantity calculation
MIR,Material Inspection Request,QA/QC,Request for material inspection
WIR,Work Inspection Request,QA/QC,Request for work inspection
IR,Inspection Request,QA/QC,Request for inspection approval
RFI,Request for Information,Client/Consultant,Clarification on drawings/specifications
RFA,Request for Approval,Client/Consultant,Approval for materials/documents
MAR,Material Approval Request,Consultant,Material approval
MAS,Material Approval Submittal,Consultant,Submit material details
MTS,Material Test Certificate,QA/QC,Certifies material quality
COC,Certificate of Compliance,QA/QC,Confirms standard compliance
ITP,Inspection & Test Plan,QA/QC,Inspection procedure
QAP,Quality Assurance Plan,QA/QC,Quality control process
MS,Method Statement,Site,Execution procedure
RA,Risk Assessment,Safety,Risk identification
JSA,Job Safety Analysis,Safety,Job hazard analysis
HIRA,Hazard Identification & Risk Assessment,Safety,Hazard evaluation
PTW,Permit To Work,Safety,Permission before work
TBT,Tool Box Talk,Safety,Daily safety briefing
PPE,Personal Protective Equipment,Safety,Safety equipment
HSE,Health Safety Environment,Safety,Safety management
EHS,Environment Health Safety,Safety,Environmental safety
NCR,Non-Conformance Report,QA/QC,Reports non-compliance
CAR,Corrective Action Report,QA/QC,Action to correct defects
OBS,Observation,QA/QC,Site observation report
SIR,Site Inspection Report,QA/QC,Site inspection record
DPR,Daily Progress Report,Project,Daily work report
DLR,Daily Labour Report,Site,Daily manpower report
DMR,Daily Material Report,Store,Daily material record
MPR,Monthly Progress Report,Project,Monthly project status
MOM,Minutes of Meeting,Project,Meeting record
LOI,Letter of Intent,Contract,Initial work authorization
WO,Work Order,Contract,Official work instruction
PO,Purchase Order,Procurement,Material purchase order
PR,Purchase Requisition,Store,Request to purchase material
RFQ,Request for Quotation,Procurement,Request for supplier quotation
PI,Proforma Invoice,Procurement,Quotation invoice
DO,Delivery Order,Store,Material delivery document
DC,Delivery Challan,Store,Material delivery proof
GRN,Goods Receipt Note,Store,Material receiving record
DN,Debit Note,Accounts,Adjustment document
CN,Credit Note,Accounts,Credit adjustment document
IPC,Interim Payment Certificate,Billing,Running bill approval
RA Bill,Running Account Bill,Billing,Progress payment bill
MB,Measurement Book,Billing,Measurement record
BBS,Bar Bending Schedule,Civil,Reinforcement schedule
IFC,Issued For Construction,Drawing,Approved construction drawing
IFA,Issued For Approval,Drawing,Approval drawing
IFR,Issued For Review,Drawing,Review drawing
IFT,Issued For Tender,Tender,Tender drawing
AFC,Approved For Construction,Drawing,Final approved drawing
ABD,As Built Drawing,Handover,Final completed drawing
SD,Shop Drawing,Execution,Construction drawing
GA,General Arrangement Drawing,Drawing,Overall layout
ISO,Isometric Drawing,Drawing,3D pipeline drawing
P&ID,Piping & Instrumentation Diagram,Process,Process piping drawing
O&M,Operation & Maintenance,Handover,Operation manual
T&C,Testing & Commissioning,Commissioning,System testing
FAT,Factory Acceptance Test,Factory,Equipment testing
SAT,Site Acceptance Test,Site,Equipment acceptance test
ATP,Acceptance Test Procedure,Commissioning,Test procedure
DLP,Defect Liability Period,Handover,Defect warranty period
